Punto Inicial,Punto Final,Distancia (m)
"(np.float64(434394.5574184913), np.float64(4812420.592171288))","(np.float64(434392.78095729754), np.float64(4812420.9426744385))",1.8107089305864537
"(np.float64(434392.78095729754), np.float64(4812420.9426744385))","(np.float64(434387.4677972663), np.float64(4812423.660055463))",5.967732329027769
"(np.float64(434387.4677972663), np.float64(4812423.660055463))","(np.float64(434385.4518948321), np.float64(4812424.346097641))",2.129440417969671
"(np.float64(434385.4518948321), np.float64(4812424.346097641))","(np.float64(434383.43599279795), np.float64(4812425.032140427))",2.129440235412992
"(np.float64(434383.43599279795), np.float64(4812425.032140427))","(np.float64(434378.7570248625), np.float64(4812426.410530834))",4.877776240820595
"(np.float64(434378.7570248625), np.float64(4812426.410530834))","(np.float64(434377.1456022199), np.float64(4812427.092636133))",1.749843013202364
"(np.float64(434377.1456022199), np.float64(4812427.092636133))","(np.float64(434371.0115977253), np.float64(4812428.596272218))",6.315610233198201
"(np.float64(434371.0115977253), np.float64(4812428.596272218))","(np.float64(434368.8306617294), np.float64(4812428.950721604))",2.209551127543665
"(np.float64(434368.8306617294), np.float64(4812428.950721604))","(np.float64(434366.64972594887), np.float64(4812429.3051716965))",2.2095510283591246
"(np.float64(434366.64972594887), np.float64(4812429.3051716965))","(np.float64(434361.469161738), np.float64(4812429.022433578))",5.188273931330764
"(np.float64(434361.469161738), np.float64(4812429.022433578))","(np.float64(434360.17375011666), np.float64(4812428.92398519))",1.299147164046142
"(np.float64(434360.17375011666), np.float64(4812428.92398519))","(np.float64(434354.50672953535), np.float64(4812428.534923138))",5.680360160154695
"(np.float64(434354.50672953535), np.float64(4812428.534923138))","(np.float64(434352.24598075246), np.float64(4812429.001223989))",2.3083373979447734
"(np.float64(434352.24598075246), np.float64(4812429.001223989))","(np.float64(434349.9863143874), np.float64(4812429.578583523))",2.3322598724575867
"(np.float64(434349.9863143874), np.float64(4812429.578583523))","(np.float64(434344.4001891951), np.float64(4812429.1887417445))",5.599711713648949
"(np.float64(434344.4001891951), np.float64(4812429.1887417445))","(np.float64(434342.45544795395), np.float64(4812428.874487298))",1.9699681095105266
"(np.float64(434342.45544795395), np.float64(4812428.874487298))","(np.float64(434337.4312616086), np.float64(4812428.034901422))",5.093854422191736
"(np.float64(434337.4312616086), np.float64(4812428.034901422))","(np.float64(434335.2405857136), np.float64(4812427.389840429))",2.283673479869347
"(np.float64(434335.2405857136), np.float64(4812427.389840429))","(np.float64(434333.13080502173), np.float64(4812426.743991717))",2.206421339285737
"(np.float64(434333.13080502173), np.float64(4812426.743991717))","(np.float64(434327.7097149608), np.float64(4812426.685760643))",5.421402798812115
"(np.float64(434327.7097149608), np.float64(4812426.685760643))","(np.float64(434325.3615764435), np.float64(4812426.486511511))",2.356576905855178
"(np.float64(434325.3615764435), np.float64(4812426.486511511))","(np.float64(434322.93254212855), np.float64(4812426.288051745))",2.437128224323428
"(np.float64(434322.93254212855), np.float64(4812426.288051745))","(np.float64(434317.9072684853), np.float64(4812425.337422464))",5.114398422034057
"(np.float64(434317.9072684853), np.float64(4812425.337422464))","(np.float64(434316.04342040356), np.float64(4812425.022387006))",1.8902849021768096
"(np.float64(434316.04342040356), np.float64(4812425.022387006))","(np.float64(434310.60933532554), np.float64(4812423.63147465))",5.609270702752759
"(np.float64(434310.60933532554), np.float64(4812423.63147465))","(np.float64(434308.25794670254), np.float64(4812423.099057708))",2.410911914006276
"(np.float64(434308.25794670254), np.float64(4812423.099057708))","(np.float64(434305.90655769233), np.float64(4812422.56664158))",2.4109121116831074
"(np.float64(434305.90655769233), np.float64(4812422.56664158))","(np.float64(434300.8834444793), np.float64(4812421.838140782))",5.0756654503565475
"(np.float64(434300.8834444793), np.float64(4812421.838140782))","(np.float64(434299.2666134614), np.float64(4812421.964975182))",1.6217982320366395
"(np.float64(434299.2666134614), np.float64(4812421.964975182))","(np.float64(434293.9943136249), np.float64(4812420.572498503))",5.453085077925768
"(np.float64(434293.9943136249), np.float64(4812420.572498503))","(np.float64(434291.7227351543), np.float64(4812419.928240492))",2.3611728299672787
"(np.float64(434291.7227351543), np.float64(4812419.928240492))","(np.float64(434289.36917738966), np.float64(4812419.173714279))",2.471546875431077
"(np.float64(434289.36917738966), np.float64(4812419.173714279))","(np.float64(434284.8151862214), np.float64(4812416.774622951))",5.147278384073802
"(np.float64(434284.8151862214), np.float64(4812416.774622951))","(np.float64(434283.1961877764), np.float64(4812416.679345361))",1.621799551110619
"(np.float64(434283.1961877764), np.float64(4812416.679345361))","(np.float64(434277.2034014386), np.float64(4812416.071388447))",6.023545442680539
"(np.float64(434277.2034014386), np.float64(4812416.071388447))","(np.float64(434274.7776116667), np.float64(4812416.20611974))",2.4295284601973557
"(np.float64(434274.7776116667), np.float64(4812416.20611974))","(np.float64(434272.4338011354), np.float64(4812416.451120669))",2.356580841328759
"(np.float64(434272.4338011354), np.float64(4812416.451120669))","(np.float64(434266.19507561385), np.float64(4812415.5123672495))",6.308958243314512
"(np.float64(434266.19507561385), np.float64(4812415.5123672495))","(np.float64(434263.7606174917), np.float64(4812414.758639169))",2.5484686319533294
"(np.float64(434263.7606174917), np.float64(4812414.758639169))","(np.float64(434261.3261588093), np.float64(4812414.004911963))",2.5484689084396477
"(np.float64(434261.3261588093), np.float64(4812414.004911963))","(np.float64(434256.13582381967), np.float64(4812412.722733401))",5.3463594314061975
"(np.float64(434256.13582381967), np.float64(4812412.722733401))","(np.float64(434254.34961377474), np.float64(4812412.073751845))",1.9004534679396015
"(np.float64(434254.34961377474), np.float64(4812412.073751845))","(np.float64(434250.0556326509), np.float64(4812411.449242417))",4.339157282038875
"(np.float64(434250.0556326509), np.float64(4812411.449242417))","(np.float64(434247.7020669887), np.float64(4812410.694730684))",2.471549975431081
"(np.float64(434247.7020669887), np.float64(4812410.694730684))","(np.float64(434245.42939663376), np.float64(4812409.939430289))",2.3948923209904613
"(np.float64(434245.42939663376), np.float64(4812409.939430289))","(np.float64(434240.48391068843), np.float64(4812408.87701113))",5.058316489261889
"(np.float64(434240.48391068843), np.float64(4812408.87701113))","(np.float64(434238.54457789764), np.float64(4812409.118076152))",1.9542579201631256
"(np.float64(434238.54457789764), np.float64(4812409.118076152))","(np.float64(434233.6120985326), np.float64(4812409.388357027))",4.9398789902166715
"(np.float64(434233.6120985326), np.float64(4812409.388357027))","(np.float64(434231.5012177967), np.float64(4812408.631482071))",2.2424712217895704
"(np.float64(434231.5012177967), np.float64(4812408.631482071))","(np.float64(434229.3094407), np.float64(4812407.875397444))",2.3185234106151884
"(np.float64(434229.3094407), np.float64(4812407.875397444))","(np.float64(434224.03928272077), np.float64(4812406.705091091))",5.398535179617019
"(np.float64(434224.03928272077), np.float64(4812406.705091091))","(np.float64(434222.3307110838), np.float64(4812405.722154495))",1.9711370803763195
"(np.float64(434222.3307110838), np.float64(4812405.722154495))","(np.float64(434216.6001137407), np.float64(4812407.110924578))",5.896475918009036
"(np.float64(434216.6001137407), np.float64(4812407.110924578))","(np.float64(434214.49465200386), np.float64(4812406.909344509))",2.1150895133701986
"(np.float64(434214.49465200386), np.float64(4812406.909344509))","(np.float64(434212.38919012767), np.float64(4812406.707765096))",2.1150895895978525
"(np.float64(434212.38919012767), np.float64(4812406.707765096))","(np.float64(434207.774870927), np.float64(4812406.419615795))",4.623307442238957
"(np.float64(434207.774870927), np.float64(4812406.419615795))","(np.float64(434205.83553840173), np.float64(4812406.660690236))",1.9542588184732044
"(np.float64(434205.83553840173), np.float64(4812406.660690236))","(np.float64(434203.89729052375), np.float64(4812407.012823154))",1.9699752355511593
"(np.float64(434203.89729052375), np.float64(4812407.012823154))","(np.float64(434198.87849158177), np.float64(4812406.728629841))",5.026838833656012
"(np.float64(434198.87849158177), np.float64(4812406.728629841))","(np.float64(434197.42236550205), np.float64(4812406.742850668))",1.4561955198285048
"(np.float64(434197.42236550205), np.float64(4812406.742850668))","(np.float64(434192.5631883687), np.float64(4812406.23496611))",4.885647258753678
